"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6433","should display correct user name in profile menu","","Fri Aug 01 14:02:56 ICT 2025","passed","Fri Aug 01 14:03:02 ICT 2025","","TC06 - Verify displayed username after login","",""
"","22226","should add a new employee","","Fri Aug 01 14:06:49 ICT 2025","failed","Fri Aug 01 14:07:11 ICT 2025","","TC07 - Add new employee in PIM","",""
"","8425","should logout and redirect to login page","","Fri Aug 01 14:02:47 ICT 2025","passed","Fri Aug 01 14:02:56 ICT 2025","","TC05 - Logout functionality","",""
"","4865","should show required validation messages","","Fri Aug 01 14:02:30 ICT 2025","passed","Fri Aug 01 14:02:35 ICT 2025","","TC02 - Login with missing fields","",""
"","12261","should find employee by name","","Fri Aug 01 14:03:27 ICT 2025","passed","Fri Aug 01 14:03:39 ICT 2025","","TC09 - Search Employee in PIM","",""
"","6878","should display username, password fields and login button","","Fri Aug 01 14:02:23 ICT 2025","passed","Fri Aug 01 14:02:30 ICT 2025","","TC01 - Login Page Render","",""
"","6298","should show error message for invalid credentials","","Fri Aug 01 14:02:35 ICT 2025","passed","Fri Aug 01 14:02:41 ICT 2025","","TC03 - Login with invalid credentials","",""
"","16279","TC07 - Add new employee in PIM","","Fri Aug 01 14:06:49 ICT 2025","passed","Fri Aug 01 14:07:05 ICT 2025","","PIM Test Cases","",""
"","5664","should login and redirect to dashboard","","Fri Aug 01 14:02:41 ICT 2025","passed","Fri Aug 01 14:02:47 ICT 2025","","TC04 - Successful Login","",""
"","10691","should show validation when required fields are missing","","Fri Aug 01 14:03:16 ICT 2025","passed","Fri Aug 01 14:03:27 ICT 2025","","TC08 - Add employee validation check","",""
